1944, JANE, RYAN, 869.00, 0.00, 869.00, 130.35, 999.35, F, Paid.
1945, WANDA, SYKES, 1520.75, 548.00, 2068.75, 310.31, 2379.06, M, 201.59
1946, JOHN, JACOB, 2172.50, 432.00, 2604.50, 390.68, 2995.18, F, Paid.
1947, BRANDON, CRANE, 2824.25, 520.00, 3344.25, 501.64, 3845.89, M, 323.82
1948, GEORGE, CLOONEY, 3476.00, 290.00, 3766.00, 564.90, 4330.90, M, 364.24
1949, HAMMY, HAMILTON, 869.00, 274.00, 1143.00, 171.45, 1314.45, F, Paid.
1950, BRENDA, CREWS, 4779.50, 406.00, 5185.50, 777.82, 5963.32, M, 500.28
1951, BOB, BURGER, 1520.75, 548.00, 2068.75, 310.31, 2379.06, F, Paid.
1952, MICHAEL, KROGER, 869.00, 274.00, 1143.00, 171.45, 1314.45, F, Paid.
1953, CARRIE, BOLGER, 1520.75, 116.00, 1636.75, 245.51, 1882.26, F, Paid.
1954, BILLIE, BOBBY, 1520.75, 260.00, 1780.75, 267.11, 2047.86, F, Paid.
1955, CUPCAKE, WARD, 2172.50, 564.00, 2736.50, 410.47, 3146.97, M, 265.58
1956, JOHN, BISQUE, 5431.25, 1040.00, 6471.25, 970.69, 7441.94, M, 623.49
1957, JUSTIN, CEASIE, 1520.75, 548.00, 2068.75, 310.31, 2379.06, M, 201.59
1958, FENNIC, HERB, 1520.75, 376.00, 1896.75, 284.51, 2181.26, F, Paid.
